date,Isai
9/26/2006,1
11/8/2006,1
2/3/2007,1
4/8/2007,0
6/3/2007,1
1/11/2009,0
2/10/2009,0
3/3/2009,0
7/20/2009,0
12/4/2009,0
4/13/2010,0
7/14/2010,0
4/18/2011,0
8/3/2011,0
2/7/2012,0
4/10/2012,0
8/23/2012,0
1/22/2013,0
1/6/2013,0
9/22/2013,0
5/15/2014,0
9/23/2014,0
1/15/2015,0
6/1/2015,0
6/1/2016,0
11/1/2016,0
5/1/2017,0
11/1/2017,0
4/1/2018,0
